,airline_id,flight_number,departure_datetime,arrival_datetime,departure_time,arrival_time,booking_code,passenger_name,seat_number,class,fare,extras,loyalty_pts,status,gate,terminal,baggage_claim,duration_hrs,layovers,layover_locations,aircraft_type,pilot,cabin_crew,inflight_entertainment,meal_option,wifi,window_seat,aisle_seat,emergency_exit_row,total_stops,reward_program_member,airline_name
0,6,2637,2023-06-26 00:11:20,2023-10-30 21:30:16,13:48:45,21:01:47,BQLF,Banul,TWV,economy,436.12,Meal,3649,cancelled,GateZN,A,ClaimJLO,8.06,1,WFQ,TypeRUH,Pilot_EYZH,Crew_DGAL,Yes,Non-Vegetarian,Not Available,True,True,False,2,True,Alaska Airlines
1,5,6966,2023-04-27 21:36:15,2023-10-27 13:13:48,14:05:17,09:12:24,BZIL,Kanhr,IGS,economy,965.8,No Extras,2598,pending,GateMH,D,ClaimCLJ,6.68,1,GGR,TypeSRC,Pilot_OKTY,Crew_VNDX,No,Vegetarian,Not Available,False,False,False,2,False,JetBlue Airways
2,12,5670,2023-03-31 15:08:52,2023-12-30 10:58:37,12:47:06,22:28:40,BQPB,Ecvfx,JUH,economy,329.94,Meal,0,pending,GateUU,C,ClaimMPS,9.48,1,LXB,TypeLSA,Pilot_UQZR,Crew_PKJB,No,Vegan,Available,False,False,True,0,False,Air Canada
3,1,6203,2023-08-04 16:59:58,2023-03-01 18:34:01,02:46:37,10:53:22,BRPJ,Ueuyb,UUC,economy,165.07,Meal,0,confirmed,GateHX,A,ClaimUTO,1.98,0,OGA,TypePNZ,Pilot_OLHE,Crew_AHUN,No,Vegetarian,Not Available,False,True,False,0,True,American Airlines
4,8,6134,2023-03-07 01:08:36,2023-03-30 04:51:17,13:46:28,07:10:26,BSDG,Cdwza,LTY,business,491.32,Meal,0,cancelled,GateXU,B,ClaimIKY,8.45,0,WVX,TypeDLG,Pilot_DJHP,Crew_DZUM,Yes,Non-Vegetarian,Not Available,True,True,False,2,True,Frontier Airlines
5,1,2890,2023-01-17 08:11:37,2023-10-24 01:31:46,02:58:15,11:42:36,BPSW,Pszwh,YPS,first,533.31,Meal,0,confirmed,GateEP,B,ClaimHCR,6.4,2,BXP,TypeENY,Pilot_MQAP,Crew_SIMT,Yes,Non-Vegetarian,Available,False,True,False,2,True,American Airlines
6,5,4205,2023-09-23 06:45:23,2023-05-28 08:46:14,12:03:42,07:17:26,BEEW,Bcngm,UHU,business,438.34,Meal,0,pending,GateSU,C,ClaimZGA,7.97,0,EMT,TypeVRD,Pilot_PKTI,Crew_MXGP,No,Non-Vegetarian,Not Available,True,True,True,0,False,JetBlue Airways
7,6,9669,2023-11-17 12:17:08,2023-03-05 11:03:39,19:12:05,06:40:04,BWGY,Gpcze,GLP,economy,798.54,Extra Baggage,704,cancelled,GateHM,D,ClaimEGR,10.95,1,ZZN,TypeWRC,Pilot_BYQB,Crew_TGMA,Yes,Vegan,Not Available,False,True,False,0,True,Alaska Airlines
8,3,3366,2023-01-14 02:46:30,2023-12-10 07:52:08,17:37:22,22:33:03,BQAC,Wcxot,JCR,first,519.29,Meal,0,cancelled,GateDT,D,ClaimRPX,8.9,1,JIO,TypeWYU,Pilot_MIRC,Crew_FMOP,No,Vegetarian,Available,True,True,True,2,True,United Airlines
9,15,8559,2023-12-14 12:29:22,2023-09-28 11:45:44,00:23:18,12:15:00,BPVB,Kwrev,RKY,economy,340.43,No Extras,0,pending,GateOL,C,ClaimLPL,2.4,2,WUW,TypeTSO,Pilot_OQNZ,Crew_PTQN,Yes,No Meal,Not Available,True,True,False,0,True,Air France
